regNameEng,regNameISO,nMen,nMen_ethn_nonmissing,nRusMen,nRusUkrBelMen,percRus,percRusUkrBel
Murmansk,MUR,296450,264000,236800,251730,89.6969696969697,95.35227272727272
Novgorod,NGR,276120,254470,240765,245255,94.61429638071286,96.37874798601014
Novosibirsk,NVS,1197510,1138515,1047725,1059490,92.02557717728796,93.05894081325236
Omsk,OMS,885135,857930,731060,755295,85.2120802396466,88.0369027776159
Orenburg,ORE,913535,898780,675185,697870,75.12238812612652,77.64636507265405
Oryol,ORL,344035,336160,321670,325685,95.68955259400286,96.88392432175156
Penza,PNZ,589660,572000,490620,494900,85.77272727272728,86.52097902097901
Perm,PER,1163090,1108110,963200,973535,86.92277842452464,87.85544756387002
Pskov,PSK,290175,278885,264100,270470,94.6985316528318,96.9826272477903
Rostov,ROS,1932085,1894660,1683625,1719605,88.86158994225877,90.76061140257356
Ryazan,RYA,509770,474990,449440,454190,94.62093938819764,95.62096044127244
Saratov,SAR,1113030,1083360,941790,962280,86.93232166592823,88.82365972529907
Sakhalin,SAK,228130,215670,185525,192540,86.02262716186767,89.27528168034497
Sverdlovsk,SVE,1837120,1731270,1561135,1581295,90.1728211082038,91.33728419021874
Smolensk,SMO,430825,411215,388020,397550,94.35939836825018,96.6769208321681
Tambov,TAM,485600,475205,460320,463610,96.8676676381772,97.560000420871
Tomsk,TOM,428860,413120,374895,381025,90.7472405112316,92.23107087529048
Tula,TUL,676055,666500,632040,639510,94.82970742685671,95.95048762190548
Ulyanovsk,ULY,575615,543540,393990,399750,72.48592559885198,73.54564521470361
Chelyabinsk,CHE,1468410,1422315,1181090,1206805,83.03997356422452,84.8479415600623
Zabaykalsky,ZAB,498065,488260,436285,440520,89.35505673206899,90.22242247982632
Chukotka,CHU,25035,23430,12770,14405,54.50277422108408,61.48100725565514
Yaroslavl,YAR,553985,529485,504890,510490,95.35492034712976,96.41255181922055
Adygea,AD,198865,191695,117685,120630,61.39179425650121,62.92808889120739
Bashkortostan,BA,1862355,1814845,638950,661380,35.206863396047595,36.442781614958854
Buryatia,BU,438370,429355,279660,283190,65.13491166983033,65.95707514760512
Dagestan,DA,1360360,1348385,39895,40420,2.958724696581466,2.9976601638256137
Kabardino-Balkaria,KB,390780,389660,80205,82215,20.58332905610019,21.099163373197147
Altai Republic,AL,94565,92570,52420,53035,56.62741708976991,57.29177919412337
Kalmykia,KL,135530,133190,38895,39715,29.202642841054132,29.818304677528342
Karelia,KR,285325,272205,224900,239445,82.6215536084936,87.96495288477433
Komi,KO,404500,381205,250275,270415,65.65365092273187,70.9368974698653
Mari El,ME,314120,298235,140340,142580,47.056851140878834,47.807936694217645
Mordovia,MO,370295,368605,190170,191860,51.59181237367915,52.050297744197714
North Ossetia,SE,315395,312450,58540,59795,18.73579772763642,19.13746199391903
Karachay-Cherkessia,KC,214105,212625,63970,64805,30.08583186360964,30.47854203409759
Tatarstan,TA,1647090,1643755,631810,640570,38.43699334754875,38.96991948313465
Tuva,TY,131780,129555,21630,21890,16.695611902280884,16.896298869206127
Udmurtia,UD,682530,656270,408100,413130,62.18477151172536,62.951224343639055
Khakassia,KK,240855,236235,191985,194790,81.26865197790336,82.45602895421932
Chechnya,CE,566980,565895,5510,5620,0.9736788626865408,0.993117097694802
Chuvashia,CU,570480,547890,144615,147170,26.394896785851177,26.861231269050357
Sakha,SA,453575,440645,167605,178260,38.036287714600185,40.45433398767715
Yevreyskaya,YEV,78895,77120,71555,73820,92.78397302904564,95.72095435684648
